LogID	Event	Time
9	Step A	2023-04-08 00:06:55.792879
9	Step B	2023-04-08 00:06:56.303404
9	Step C	2023-04-08 00:06:56.816783
9	Step D	2023-04-08 00:06:57.326133
9	Step E	2023-04-08 00:06:57.835852
9	Step G	2023-04-08 00:06:58.349297
9	Step H	2023-04-08 00:06:58.858616
10	Step A	2023-04-08 00:06:59.372300
10	Step B	2023-04-08 00:06:59.884461
10	Step D	2023-04-08 00:07:00.398197
10	Step E	2023-04-08 00:07:00.911507
10	Step G	2023-04-08 00:07:01.422851
10	Step H	2023-04-08 00:07:01.935761
10	Step C	2023-04-08 00:07:02.448084
11	Step A	2023-04-08 00:07:02.960805
11	Step B	2023-04-08 00:07:03.469501
11	Step C	2023-04-08 00:07:03.979807
11	Step D	2023-04-08 00:07:04.490620
11	Step E	2023-04-08 00:07:05.000902
11	Step F	2023-04-08 00:07:05.511055
11	Step H	2023-04-08 00:07:06.022968
12	Step A	2023-04-08 00:07:06.530983
12	Step B	2023-04-08 00:07:07.045201
12	Step D	2023-04-08 00:07:07.556761
12	Step F	2023-04-08 00:07:08.064924
12	Step H	2023-04-08 00:07:08.573588
12	Step E	2023-04-08 00:07:09.084880
12	Step C	2023-04-08 00:07:09.596320
13	Step A	2023-04-08 00:07:10.097691
13	Step B	2023-04-08 00:07:10.610597
13	Step C	2023-04-08 00:07:11.121990
13	Step D	2023-04-08 00:07:11.635716
13	Step E	2023-04-08 00:07:12.149755
13	Step F	2023-04-08 00:07:12.662980
13	Step H	2023-04-08 00:07:13.172917
14	Step A	2023-04-08 00:07:13.686356
14	Step B	2023-04-08 00:07:14.199639
14	Step C	2023-04-08 00:07:14.711405
14	Step D	2023-04-08 00:07:15.224921
14	Step E	2023-04-08 00:07:15.737393
14	Step F	2023-04-08 00:07:16.248482
14	Step H	2023-04-08 00:07:16.761784
15	Step A	2023-04-08 00:07:17.273228
15	Step B	2023-04-08 00:07:17.785249
15	Step C	2023-04-08 00:07:18.297881
15	Step D	2023-04-08 00:07:18.809779
15	Step E	2023-04-08 00:07:19.319267
15	Step F	2023-04-08 00:07:19.831401
15	Step H	2023-04-08 00:07:20.343558
16	Step A	2023-04-08 00:07:20.855268
16	Step B	2023-04-08 00:07:21.363971
16	Step C	2023-04-08 00:07:21.876189
16	Step D	2023-04-08 00:07:22.385740
16	Step F	2023-04-08 00:07:22.894898
16	Step H	2023-04-08 00:07:23.406187
16	Step E	2023-04-08 00:07:23.916737
17	Step A	2023-04-08 00:07:24.432855
17	Step B	2023-04-08 00:07:24.942993
17	Step D	2023-04-08 00:07:25.455430
17	Step F	2023-04-08 00:07:25.968388
17	Step H	2023-04-08 00:07:26.479602
17	Step E	2023-04-08 00:07:26.991118
17	Step C	2023-04-08 00:07:27.505343
18	Step A	2023-04-08 00:07:28.014248
18	Step B	2023-04-08 00:07:28.525805
18	Step D	2023-04-08 00:07:29.038428
18	Step F	2023-04-08 00:07:29.544804
18	Step H	2023-04-08 00:07:30.055746
18	Step E	2023-04-08 00:07:30.569226
18	Step C	2023-04-08 00:07:31.080952
19	Step A	2023-04-08 00:07:31.592040
19	Step B	2023-04-08 00:07:32.106661
19	Step D	2023-04-08 00:07:32.617897
19	Step F	2023-04-08 00:07:33.131173
19	Step H	2023-04-08 00:07:33.641589
19	Step E	2023-04-08 00:07:34.151511
19	Step C	2023-04-08 00:07:34.660791
20	Step A	2023-04-08 00:07:35.170867
20	Step B	2023-04-08 00:07:35.681710
20	Step D	2023-04-08 00:07:36.193687
20	Step G	2023-04-08 00:07:36.706156
20	Step H	2023-04-08 00:07:37.217909
20	Step E	2023-04-08 00:07:37.732683
20	Step C	2023-04-08 00:07:38.244015
21	Step A	2023-04-08 00:07:38.756352
21	Step B	2023-04-08 00:07:39.268588
21	Step D	2023-04-08 00:07:39.779623
21	Step E	2023-04-08 00:07:40.294806
21	Step F	2023-04-08 00:07:40.805946
21	Step H	2023-04-08 00:07:41.317337
21	Step C	2023-04-08 00:07:41.829573
22	Step A	2023-04-08 00:07:42.340766
22	Step B	2023-04-08 00:07:42.854802
22	Step D	2023-04-08 00:07:43.361681
22	Step G	2023-04-08 00:07:43.873023
22	Step H	2023-04-08 00:07:44.384004
22	Step E	2023-04-08 00:07:44.896419
22	Step C	2023-04-08 00:07:45.409125
23	Step A	2023-04-08 00:07:45.921255
23	Step B	2023-04-08 00:07:46.434548
23	Step D	2023-04-08 00:07:46.947571
23	Step E	2023-04-08 00:07:47.457453
23	Step G	2023-04-08 00:07:47.969099
23	Step H	2023-04-08 00:07:48.483160
23	Step C	2023-04-08 00:07:48.994633
24	Step A	2023-04-08 00:07:49.506766
24	Step B	2023-04-08 00:07:50.019934
24	Step D	2023-04-08 00:07:50.531001
24	Step F	2023-04-08 00:07:51.044209
24	Step H	2023-04-08 00:07:51.556810
24	Step E	2023-04-08 00:07:52.067815
24	Step C	2023-04-08 00:07:52.579662
25	Step A	2023-04-08 00:07:53.091727
25	Step B	2023-04-08 00:07:53.602842
25	Step C	2023-04-08 00:07:54.115478
25	Step D	2023-04-08 00:07:54.628186
25	Step E	2023-04-08 00:07:55.136034
25	Step G	2023-04-08 00:07:55.647948
25	Step H	2023-04-08 00:07:56.160243
26	Step A	2023-04-08 00:07:56.669329
26	Step B	2023-04-08 00:07:57.177830
26	Step D	2023-04-08 00:07:57.687807
26	Step E	2023-04-08 00:07:58.199755
26	Step F	2023-04-08 00:07:58.709600
26	Step H	2023-04-08 00:07:59.221140
26	Step C	2023-04-08 00:07:59.733288
27	Step A	2023-04-08 00:08:00.245897
27	Step B	2023-04-08 00:08:00.758625
27	Step C	2023-04-08 00:08:01.272655
27	Step D	2023-04-08 00:08:01.783724
27	Step E	2023-04-08 00:08:02.295234
27	Step G	2023-04-08 00:08:02.805958
27	Step H	2023-04-08 00:08:03.318895
28	Step A	2023-04-08 00:08:03.829302
28	Step B	2023-04-08 00:08:04.340645
28	Step D	2023-04-08 00:08:04.850379
28	Step E	2023-04-08 00:08:05.363685
28	Step G	2023-04-08 00:08:05.874471
28	Step H	2023-04-08 00:08:06.383306
28	Step C	2023-04-08 00:08:06.894345
29	Step A	2023-04-08 00:08:07.407745
29	Step B	2023-04-08 00:08:07.919481
29	Step C	2023-04-08 00:08:08.429987
29	Step D	2023-04-08 00:08:08.942418
29	Step E	2023-04-08 00:08:09.452760
29	Step G	2023-04-08 00:08:09.965722
29	Step H	2023-04-08 00:08:10.477836
30	Step A	2023-04-08 00:08:10.993517
30	Step B	2023-04-08 00:08:11.506488
30	Step C	2023-04-08 00:08:12.018630
30	Step D	2023-04-08 00:08:12.531723
30	Step G	2023-04-08 00:08:13.044371
30	Step H	2023-04-08 00:08:13.555490
30	Step E	2023-04-08 00:08:14.068161
31	Step A	2023-04-08 00:08:14.580672
31	Step B	2023-04-08 00:08:15.092806
31	Step C	2023-04-08 00:08:15.606102
31	Step D	2023-04-08 00:08:16.116752
31	Step G	2023-04-08 00:08:16.626828
31	Step H	2023-04-08 00:08:17.137016
31	Step E	2023-04-08 00:08:17.648770
32	Step A	2023-04-08 00:08:18.160340
32	Step B	2023-04-08 00:08:18.673329
32	Step C	2023-04-08 00:08:19.183629
32	Step D	2023-04-08 00:08:19.695729
32	Step F	2023-04-08 00:08:20.208562
32	Step H	2023-04-08 00:08:20.718361
32	Step E	2023-04-08 00:08:21.230761
33	Step A	2023-04-08 00:08:21.742424
33	Step B	2023-04-08 00:08:22.254152
33	Step C	2023-04-08 00:08:22.766630
33	Step D	2023-04-08 00:08:23.279208
33	Step G	2023-04-08 00:08:23.792038
33	Step H	2023-04-08 00:08:24.303478
33	Step E	2023-04-08 00:08:24.815030
34	Step A	2023-04-08 00:08:25.325280
34	Step B	2023-04-08 00:08:25.837568
34	Step C	2023-04-08 00:08:26.349903
34	Step D	2023-04-08 00:08:26.860789
34	Step E	2023-04-08 00:08:27.374758
34	Step F	2023-04-08 00:08:27.883945
34	Step H	2023-04-08 00:08:28.395828
35	Step A	2023-04-08 00:08:28.909971
35	Step B	2023-04-08 00:08:29.422757
35	Step C	2023-04-08 00:08:29.934252
35	Step D	2023-04-08 00:08:30.444341
35	Step F	2023-04-08 00:08:30.954616
35	Step H	2023-04-08 00:08:31.467099
35	Step E	2023-04-08 00:08:31.979007
36	Step A	2023-04-08 00:08:32.490205
36	Step B	2023-04-08 00:08:32.999022
36	Step D	2023-04-08 00:08:33.511523
36	Step G	2023-04-08 00:08:34.022801
36	Step H	2023-04-08 00:08:34.535988
36	Step E	2023-04-08 00:08:35.048968
36	Step C	2023-04-08 00:08:35.561475
37	Step A	2023-04-08 00:08:36.072949
37	Step B	2023-04-08 00:08:36.586864
37	Step C	2023-04-08 00:08:37.097747
37	Step D	2023-04-08 00:08:37.608589
37	Step G	2023-04-08 00:08:38.120089
37	Step H	2023-04-08 00:08:38.633758
37	Step E	2023-04-08 00:08:39.148458
38	Step A	2023-04-08 00:08:39.660979
38	Step B	2023-04-08 00:08:40.174486
38	Step D	2023-04-08 00:08:40.687664
38	Step E	2023-04-08 00:08:41.195759
38	Step F	2023-04-08 00:08:41.706747
38	Step H	2023-04-08 00:08:42.216820
38	Step C	2023-04-08 00:08:42.727559
39	Step A	2023-04-08 00:08:43.239095
39	Step B	2023-04-08 00:08:43.751985
39	Step D	2023-04-08 00:08:44.263795
39	Step E	2023-04-08 00:08:44.773770
39	Step G	2023-04-08 00:08:45.286637
39	Step H	2023-04-08 00:08:45.798337
39	Step C	2023-04-08 00:08:46.309737
40	Step A	2023-04-08 00:08:46.823054
40	Step B	2023-04-08 00:08:47.334029
40	Step C	2023-04-08 00:08:47.847042
40	Step D	2023-04-08 00:08:48.355436
40	Step G	2023-04-08 00:08:48.867796
40	Step H	2023-04-08 00:08:49.383105
40	Step E	2023-04-08 00:08:49.895727
41	Step A	2023-04-08 00:08:50.408943
41	Step B	2023-04-08 00:08:50.918843
41	Step C	2023-04-08 00:08:51.430426
41	Step D	2023-04-08 00:08:51.943788
41	Step E	2023-04-08 00:08:52.457549
41	Step F	2023-04-08 00:08:52.967212
41	Step H	2023-04-08 00:08:53.480818
42	Step A	2023-04-08 00:08:53.993977
42	Step B	2023-04-08 00:08:54.506805
42	Step C	2023-04-08 00:08:55.019493
42	Step D	2023-04-08 00:08:55.529552
42	Step F	2023-04-08 00:08:56.042873
42	Step H	2023-04-08 00:08:56.556847
42	Step E	2023-04-08 00:08:57.069861
43	Step A	2023-04-08 00:08:57.581906
43	Step B	2023-04-08 00:08:58.094599
43	Step D	2023-04-08 00:08:58.608391
43	Step G	2023-04-08 00:08:59.121398
43	Step H	2023-04-08 00:08:59.633272
43	Step E	2023-04-08 00:09:00.145730
43	Step C	2023-04-08 00:09:00.656810
44	Step A	2023-04-08 00:09:01.171851
44	Step B	2023-04-08 00:09:01.687305
44	Step D	2023-04-08 00:09:02.200730
44	Step G	2023-04-08 00:09:02.711851
44	Step H	2023-04-08 00:09:03.223055
44	Step E	2023-04-08 00:09:03.737562
44	Step C	2023-04-08 00:09:04.248818
45	Step A	2023-04-08 00:09:04.761023
45	Step B	2023-04-08 00:09:05.271230
45	Step C	2023-04-08 00:09:05.781819
45	Step D	2023-04-08 00:09:06.293630
45	Step G	2023-04-08 00:09:06.805149
45	Step H	2023-04-08 00:09:07.315567
45	Step E	2023-04-08 00:09:07.826961
46	Step A	2023-04-08 00:09:08.338752
46	Step B	2023-04-08 00:09:08.851216
46	Step C	2023-04-08 00:09:09.363762
46	Step D	2023-04-08 00:09:09.874822
46	Step E	2023-04-08 00:09:10.387831
46	Step F	2023-04-08 00:09:10.898076
46	Step H	2023-04-08 00:09:11.410308
47	Step A	2023-04-08 00:09:11.921255
47	Step B	2023-04-08 00:09:12.433445
47	Step D	2023-04-08 00:09:12.944460
47	Step E	2023-04-08 00:09:13.451745
47	Step F	2023-04-08 00:09:13.963553
47	Step H	2023-04-08 00:09:14.475322
47	Step C	2023-04-08 00:09:14.986107
48	Step A	2023-04-08 00:09:15.494601
48	Step B	2023-04-08 00:09:16.007605
48	Step D	2023-04-08 00:09:16.518994
48	Step E	2023-04-08 00:09:17.033067
48	Step G	2023-04-08 00:09:17.545712
48	Step H	2023-04-08 00:09:18.061086
48	Step C	2023-04-08 00:09:18.571743
49	Step A	2023-04-08 00:09:19.084626
49	Step B	2023-04-08 00:09:19.596681
49	Step C	2023-04-08 00:09:20.105819
49	Step D	2023-04-08 00:09:20.618704
49	Step E	2023-04-08 00:09:21.128522
49	Step F	2023-04-08 00:09:21.640862
49	Step H	2023-04-08 00:09:22.154178
50	Step A	2023-04-08 00:09:22.664029
50	Step B	2023-04-08 00:09:23.175967
50	Step D	2023-04-08 00:09:23.691530
50	Step E	2023-04-08 00:09:24.203184
50	Step G	2023-04-08 00:09:24.715799
50	Step H	2023-04-08 00:09:25.227774
50	Step C	2023-04-08 00:09:25.739954
51	Step A	2023-04-08 00:09:26.251405
51	Step B	2023-04-08 00:09:26.761830
51	Step D	2023-04-08 00:09:27.274600
51	Step E	2023-04-08 00:09:27.785511
51	Step F	2023-04-08 00:09:28.297527
51	Step H	2023-04-08 00:09:28.810668
51	Step C	2023-04-08 00:09:29.323257
52	Step A	2023-04-08 00:09:29.837676
52	Step B	2023-04-08 00:09:30.351354
52	Step C	2023-04-08 00:09:30.865745
52	Step D	2023-04-08 00:09:31.378255
52	Step G	2023-04-08 00:09:31.891389
52	Step H	2023-04-08 00:09:32.403015
52	Step E	2023-04-08 00:09:32.914896
53	Step A	2023-04-08 00:09:33.425740
53	Step B	2023-04-08 00:09:33.938015
53	Step D	2023-04-08 00:09:34.448180
53	Step G	2023-04-08 00:09:34.961359
53	Step H	2023-04-08 00:09:35.475721
53	Step E	2023-04-08 00:09:35.985503
53	Step C	2023-04-08 00:09:36.497763
54	Step A	2023-04-08 00:09:37.009592
54	Step B	2023-04-08 00:09:37.522299
54	Step C	2023-04-08 00:09:38.034725
54	Step D	2023-04-08 00:09:38.548260
54	Step E	2023-04-08 00:09:39.058396
54	Step F	2023-04-08 00:09:39.569629
54	Step H	2023-04-08 00:09:40.079690
55	Step A	2023-04-08 00:09:40.589680
55	Step B	2023-04-08 00:09:41.099681
55	Step C	2023-04-08 00:09:41.612600
55	Step D	2023-04-08 00:09:42.126127
55	Step E	2023-04-08 00:09:42.638613
55	Step F	2023-04-08 00:09:43.149660
55	Step H	2023-04-08 00:09:43.662797
56	Step A	2023-04-08 00:09:44.174621
56	Step B	2023-04-08 00:09:44.687759
56	Step D	2023-04-08 00:09:45.199003
56	Step G	2023-04-08 00:09:45.712330
56	Step H	2023-04-08 00:09:46.225712
56	Step E	2023-04-08 00:09:46.735984
56	Step C	2023-04-08 00:09:47.246620
57	Step A	2023-04-08 00:09:47.761869
57	Step B	2023-04-08 00:09:48.270763
57	Step D	2023-04-08 00:09:48.785316
57	Step E	2023-04-08 00:09:49.296878
57	Step F	2023-04-08 00:09:49.809267
57	Step H	2023-04-08 00:09:50.323098
57	Step C	2023-04-08 00:09:50.837375
58	Step A	2023-04-08 00:09:51.349792
58	Step B	2023-04-08 00:09:51.862540
58	Step D	2023-04-08 00:09:52.373674
58	Step E	2023-04-08 00:09:52.883970
58	Step G	2023-04-08 00:09:53.394098
58	Step H	2023-04-08 00:09:53.904407
58	Step C	2023-04-08 00:09:54.416433
59	Step A	2023-04-08 00:09:54.927068
59	Step B	2023-04-08 00:09:55.438329
59	Step D	2023-04-08 00:09:55.952664
59	Step E	2023-04-08 00:09:56.462813
59	Step F	2023-04-08 00:09:56.973424
59	Step H	2023-04-08 00:09:57.485655
59	Step C	2023-04-08 00:09:57.996596
60	Step A	2023-04-08 00:09:58.507713
60	Step B	2023-04-08 00:09:59.019427
60	Step D	2023-04-08 00:09:59.533623
60	Step E	2023-04-08 00:10:00.047144
60	Step F	2023-04-08 00:10:00.557765
60	Step H	2023-04-08 00:10:01.069065
60	Step C	2023-04-08 00:10:01.579826
61	Step A	2023-04-08 00:10:02.093752
61	Step B	2023-04-08 00:10:02.606783
61	Step D	2023-04-08 00:10:03.119150
61	Step G	2023-04-08 00:10:03.632871
61	Step H	2023-04-08 00:10:04.148497
61	Step E	2023-04-08 00:10:04.663228
61	Step C	2023-04-08 00:10:05.173753
62	Step A	2023-04-08 00:10:05.686057
62	Step B	2023-04-08 00:10:06.197525
62	Step D	2023-04-08 00:10:06.697676
62	Step E	2023-04-08 00:10:07.210019
62	Step F	2023-04-08 00:10:07.720245
62	Step H	2023-04-08 00:10:08.233021
62	Step C	2023-04-08 00:10:08.746947
63	Step A	2023-04-08 00:10:09.256919
63	Step B	2023-04-08 00:10:09.769859
63	Step D	2023-04-08 00:10:10.283433
63	Step G	2023-04-08 00:10:10.796119
63	Step H	2023-04-08 00:10:11.309506
63	Step E	2023-04-08 00:10:11.822701
63	Step C	2023-04-08 00:10:12.337115
64	Step A	2023-04-08 00:10:12.851230
64	Step B	2023-04-08 00:10:13.364467
64	Step D	2023-04-08 00:10:13.878154
64	Step G	2023-04-08 00:10:14.390391
64	Step H	2023-04-08 00:10:14.902989
64	Step E	2023-04-08 00:10:15.412744
64	Step C	2023-04-08 00:10:15.925006
65	Step A	2023-04-08 00:10:16.435349
65	Step B	2023-04-08 00:10:16.947906
65	Step C	2023-04-08 00:10:17.460596
65	Step D	2023-04-08 00:10:17.973640
65	Step G	2023-04-08 00:10:18.489910
65	Step H	2023-04-08 00:10:19.002593
65	Step E	2023-04-08 00:10:19.516993
66	Step A	2023-04-08 00:10:20.029333
66	Step B	2023-04-08 00:10:20.540191
66	Step C	2023-04-08 00:10:21.053509
66	Step D	2023-04-08 00:10:21.564243
66	Step G	2023-04-08 00:10:22.077905
66	Step H	2023-04-08 00:10:22.586263
66	Step E	2023-04-08 00:10:23.098427
67	Step A	2023-04-08 00:10:23.611517
67	Step B	2023-04-08 00:10:24.123574
67	Step D	2023-04-08 00:10:24.632919
67	Step G	2023-04-08 00:10:25.143774
67	Step H	2023-04-08 00:10:25.655758
67	Step E	2023-04-08 00:10:26.168134
67	Step C	2023-04-08 00:10:26.681958
68	Step A	2023-04-08 00:10:27.196661
68	Step B	2023-04-08 00:10:27.708110
68	Step C	2023-04-08 00:10:28.221553
68	Step D	2023-04-08 00:10:28.734307
68	Step E	2023-04-08 00:10:29.246809
68	Step G	2023-04-08 00:10:29.755991
68	Step H	2023-04-08 00:10:30.264498
69	Step A	2023-04-08 00:10:30.777840
69	Step B	2023-04-08 00:10:31.291557
69	Step C	2023-04-08 00:10:31.802153
69	Step D	2023-04-08 00:10:32.311935
69	Step G	2023-04-08 00:10:32.821697
69	Step H	2023-04-08 00:10:33.334337
69	Step E	2023-04-08 00:10:33.843038
70	Step A	2023-04-08 00:10:34.356696
70	Step B	2023-04-08 00:10:34.869524
70	Step C	2023-04-08 00:10:35.383279
70	Step D	2023-04-08 00:10:35.896230
70	Step E	2023-04-08 00:10:36.409761
70	Step F	2023-04-08 00:10:36.920936
70	Step H	2023-04-08 00:10:37.433495
71	Step A	2023-04-08 00:10:37.947305
71	Step B	2023-04-08 00:10:38.455715
71	Step D	2023-04-08 00:10:38.967478
71	Step E	2023-04-08 00:10:39.479416
71	Step G	2023-04-08 00:10:39.991947
71	Step H	2023-04-08 00:10:40.505529
71	Step C	2023-04-08 00:10:41.016826
72	Step A	2023-04-08 00:10:41.528545
72	Step B	2023-04-08 00:10:42.042378
72	Step C	2023-04-08 00:10:42.550903
72	Step D	2023-04-08 00:10:43.061761
72	Step F	2023-04-08 00:10:43.576462
72	Step H	2023-04-08 00:10:44.090008
72	Step E	2023-04-08 00:10:44.601690
73	Step A	2023-04-08 00:10:45.112032
73	Step B	2023-04-08 00:10:45.625325
73	Step D	2023-04-08 00:10:46.136613
73	Step G	2023-04-08 00:10:46.648867
73	Step H	2023-04-08 00:10:47.160122
73	Step E	2023-04-08 00:10:47.671791
73	Step C	2023-04-08 00:10:48.185591
74	Step A	2023-04-08 00:10:48.698678
74	Step B	2023-04-08 00:10:49.207942
74	Step C	2023-04-08 00:10:49.715576
74	Step D	2023-04-08 00:10:50.226536
74	Step G	2023-04-08 00:10:50.737408
74	Step H	2023-04-08 00:10:51.249795
74	Step E	2023-04-08 00:10:51.762402
75	Step A	2023-04-08 00:10:52.276576
75	Step B	2023-04-08 00:10:52.785607
75	Step C	2023-04-08 00:10:53.294439
75	Step D	2023-04-08 00:10:53.808353
75	Step E	2023-04-08 00:10:54.319311
75	Step G	2023-04-08 00:10:54.828833
75	Step H	2023-04-08 00:10:55.341795
76	Step A	2023-04-08 00:10:55.854805
76	Step B	2023-04-08 00:10:56.363438
76	Step D	2023-04-08 00:10:56.872671
76	Step F	2023-04-08 00:10:57.387868
76	Step H	2023-04-08 00:10:57.900828
76	Step E	2023-04-08 00:10:58.413479
76	Step C	2023-04-08 00:10:58.927837
77	Step A	2023-04-08 00:10:59.441419
77	Step B	2023-04-08 00:10:59.951343
77	Step C	2023-04-08 00:11:00.461413
77	Step D	2023-04-08 00:11:00.972724
77	Step G	2023-04-08 00:11:01.482808
77	Step H	2023-04-08 00:11:01.993469
77	Step E	2023-04-08 00:11:02.504379
78	Step A	2023-04-08 00:11:03.018394
78	Step B	2023-04-08 00:11:03.530657
78	Step C	2023-04-08 00:11:04.040746
78	Step D	2023-04-08 00:11:04.551835
78	Step G	2023-04-08 00:11:05.061251
78	Step H	2023-04-08 00:11:05.572646
78	Step E	2023-04-08 00:11:06.083769
79	Step A	2023-04-08 00:11:06.595697
79	Step B	2023-04-08 00:11:07.109226
79	Step C	2023-04-08 00:11:07.620215
79	Step D	2023-04-08 00:11:08.129404
79	Step E	2023-04-08 00:11:08.642872
79	Step G	2023-04-08 00:11:09.153856
79	Step H	2023-04-08 00:11:09.663280
80	Step A	2023-04-08 00:11:10.177692
80	Step B	2023-04-08 00:11:10.690849
80	Step D	2023-04-08 00:11:11.202717
80	Step E	2023-04-08 00:11:11.715675
80	Step G	2023-04-08 00:11:12.227736
80	Step H	2023-04-08 00:11:12.739283
80	Step C	2023-04-08 00:11:13.248164
81	Step A	2023-04-08 00:11:13.761698
81	Step B	2023-04-08 00:11:14.273990
81	Step C	2023-04-08 00:11:14.786556
81	Step D	2023-04-08 00:11:15.296830
81	Step E	2023-04-08 00:11:15.809304
81	Step F	2023-04-08 00:11:16.320383
81	Step H	2023-04-08 00:11:16.833134
82	Step A	2023-04-08 00:11:17.344269
82	Step B	2023-04-08 00:11:17.854379
82	Step C	2023-04-08 00:11:18.366854
82	Step D	2023-04-08 00:11:18.877669
82	Step E	2023-04-08 00:11:19.390866
82	Step F	2023-04-08 00:11:19.903101
82	Step H	2023-04-08 00:11:20.414868
83	Step A	2023-04-08 00:11:20.925690
83	Step B	2023-04-08 00:11:21.436365
83	Step C	2023-04-08 00:11:21.948333
83	Step D	2023-04-08 00:11:22.459821
83	Step G	2023-04-08 00:11:22.970976
83	Step H	2023-04-08 00:11:23.486362
83	Step E	2023-04-08 00:11:23.997688
84	Step A	2023-04-08 00:11:24.511210
84	Step B	2023-04-08 00:11:25.024118
84	Step C	2023-04-08 00:11:25.537091
84	Step D	2023-04-08 00:11:26.048137
84	Step F	2023-04-08 00:11:26.556569
84	Step H	2023-04-08 00:11:27.067768
84	Step E	2023-04-08 00:11:27.578923
85	Step A	2023-04-08 00:11:28.091587
85	Step B	2023-04-08 00:11:28.603808
85	Step C	2023-04-08 00:11:29.114872
85	Step D	2023-04-08 00:11:29.629037
85	Step F	2023-04-08 00:11:30.139592
85	Step H	2023-04-08 00:11:30.650067
85	Step E	2023-04-08 00:11:31.163405
86	Step A	2023-04-08 00:11:31.677670
86	Step B	2023-04-08 00:11:32.190069
86	Step D	2023-04-08 00:11:32.704104
86	Step F	2023-04-08 00:11:33.214528
86	Step H	2023-04-08 00:11:33.727817
86	Step E	2023-04-08 00:11:34.240181
86	Step C	2023-04-08 00:11:34.749729
87	Step A	2023-04-08 00:11:35.260074
87	Step B	2023-04-08 00:11:35.773176
87	Step D	2023-04-08 00:11:36.281825
87	Step G	2023-04-08 00:11:36.794635
87	Step H	2023-04-08 00:11:37.305780
87	Step E	2023-04-08 00:11:37.817734
87	Step C	2023-04-08 00:11:38.332867
88	Step A	2023-04-08 00:11:38.843210
88	Step B	2023-04-08 00:11:39.358540
88	Step C	2023-04-08 00:11:39.872228
88	Step D	2023-04-08 00:11:40.382748
88	Step E	2023-04-08 00:11:40.895750
88	Step G	2023-04-08 00:11:41.407068
88	Step H	2023-04-08 00:11:41.916806
89	Step A	2023-04-08 00:11:42.429854
89	Step B	2023-04-08 00:11:42.939753
89	Step C	2023-04-08 00:11:43.452725
89	Step D	2023-04-08 00:11:43.961855
89	Step G	2023-04-08 00:11:44.476141
89	Step H	2023-04-08 00:11:44.989834
89	Step E	2023-04-08 00:11:45.502998
90	Step A	2023-04-08 00:11:46.017779
90	Step B	2023-04-08 00:11:46.530271
90	Step D	2023-04-08 00:11:47.038820
90	Step F	2023-04-08 00:11:47.548913
90	Step H	2023-04-08 00:11:48.062288
90	Step E	2023-04-08 00:11:48.573252
90	Step C	2023-04-08 00:11:49.082357
91	Step A	2023-04-08 00:11:49.593769
91	Step B	2023-04-08 00:11:50.105754
91	Step D	2023-04-08 00:11:50.617797
91	Step F	2023-04-08 00:11:51.130097
91	Step H	2023-04-08 00:11:51.643278
